id,REF_DATE,VALUE
0,1992,117990
1,1993,121910
2,1994,122610
3,1995,122075
4,1996,123155
5,1997,126965
6,1998,131075
7,1999,135510
8,2000,138945
9,2001,142880
10,2002,145155
11,2003,147300
12,2004,152405
13,2005,156695
14,2006,161535
15,2007,167195
16,2008,168450
17,2009,173270
18,2010,187695
19,2011,195710
20,2012,197545
21,2013,193445
22,2014,198215
23,2015,201965
24,2016,207190
25,2017,211290
26,2018,
27,2019,
28,2020,
29,1992,415.9
30,1993,425
31,1994,422.8
32,1995,416.6
33,1996,415.9
34,1997,424.5
35,1998,434.7
36,1999,445.7
37,2000,452.8
38,2001,460.6
39,2002,462.9
40,2003,465.5
41,2004,477.2
42,2005,486
43,2006,495.9
44,2007,508.4
45,2008,506.7
46,2009,515.2
47,2010,552
48,2011,569.9
49,2012,569.1
50,2013,551.4
51,2014,559.3
52,2015,565.7
53,2016,573.8
54,2017,578.2
55,2018,
56,2019,
57,2020,
