,REF_DATE,GEO,Sex,Primary types of cancer ,Trends,Characteristics,UOM,SCALAR_FACTOR,VALUE
0,2021,Canada,Both sexes,"Total, all primary sites of cancer",First trend,Annual percent change (APC),Percentage,units,-0.1
1,2021,Canada,Both sexes,"Total, all primary sites of cancer",First trend,Start year of period,Number,units,1984.0
2,2021,Canada,Both sexes,"Total, all primary sites of cancer",First trend,End year of period,Number,units,1992.0
3,2021,Canada,Both sexes,"Total, all primary sites of cancer",Second trend,Annual percent change (APC),Percentage,units,-0.7
4,2021,Canada,Both sexes,"Total, all primary sites of cancer",Second trend,Start year of period,Number,units,1992.0
5,2021,Canada,Both sexes,"Total, all primary sites of cancer",Second trend,End year of period,Number,units,2002.0
6,2021,Canada,Both sexes,"Total, all primary sites of cancer",Third trend,Annual percent change (APC),Percentage,units,-1.3
7,2021,Canada,Both sexes,"Total, all primary sites of cancer",Third trend,Start year of period,Number,units,2002.0
8,2021,Canada,Both sexes,"Total, all primary sites of cancer",Third trend,End year of period,Number,units,2016.0
9,2021,Canada,Both sexes,"Total, all primary sites of cancer",Fourth trend,Annual percent change (APC),Percentage,units,-2.2
10,2021,Canada,Both sexes,"Total, all primary sites of cancer",Fourth trend,Start year of period,Number,units,2016.0
11,2021,Canada,Both sexes,"Total, all primary sites of cancer",Fourth trend,End year of period,Number,units,2020.0
12,2021,Canada,Both sexes,"Total, all primary sites of cancer",Fifth trend,Annual percent change (APC),Percentage,units,
13,2021,Canada,Both sexes,"Total, all primary sites of cancer",Fifth trend,Start year of period,Number,units,
14,2021,Canada,Both sexes,"Total, all primary sites of cancer",Fifth trend,End year of period,Number,units,
15,2021,Canada,Both sexes,"Total, all primary sites of cancer",Latest trend,Annual percent change (APC),Percentage,units,-2.2
16,2021,Canada,Both sexes,"Total, all primary sites of cancer",Latest trend,Start year of period,Number,units,2016.0
17,2021,Canada,Both sexes,"Total, all primary sites of cancer",Latest trend,End year of period,Number,units,2020.0
18,2021,Canada,Both sexes,"Total, all primary sites of cancer",Overall trend since 1984,Annual percent change (APC),Percentage,units,-1.0
19,2021,Canada,Both sexes,"Total, all primary sites of cancer",Overall trend since 1984,Start year of period,Number,units,1984.0
20,2021,Canada,Both sexes,"Total, all primary sites of cancer",Overall trend since 1984,End year of period,Number,units,2020.0
21,2021,Canada,Both sexes,"Total, all primary sites of cancer",Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-1.7
22,2021,Canada,Both sexes,"Total, all primary sites of cancer",Overall trend within the last ten years,Start year of period,Number,units,2011.0
23,2021,Canada,Both sexes,"Total, all primary sites of cancer",Overall trend within the last ten years,End year of period,Number,units,2020.0
24,2021,Canada,Both sexes,Head and neck,First trend,Annual percent change (APC),Percentage,units,-0.8
25,2021,Canada,Both sexes,Head and neck,First trend,Start year of period,Number,units,1984.0
26,2021,Canada,Both sexes,Head and neck,First trend,End year of period,Number,units,1991.0
27,2021,Canada,Both sexes,Head and neck,Second trend,Annual percent change (APC),Percentage,units,-2.4
28,2021,Canada,Both sexes,Head and neck,Second trend,Start year of period,Number,units,1991.0
29,2021,Canada,Both sexes,Head and neck,Second trend,End year of period,Number,units,2009.0
30,2021,Canada,Both sexes,Head and neck,Third trend,Annual percent change (APC),Percentage,units,-0.3
31,2021,Canada,Both sexes,Head and neck,Third trend,Start year of period,Number,units,2009.0
32,2021,Canada,Both sexes,Head and neck,Third trend,End year of period,Number,units,2020.0
33,2021,Canada,Both sexes,Head and neck,Fourth trend,Annual percent change (APC),Percentage,units,
34,2021,Canada,Both sexes,Head and neck,Fourth trend,Start year of period,Number,units,
35,2021,Canada,Both sexes,Head and neck,Fourth trend,End year of period,Number,units,
36,2021,Canada,Both sexes,Head and neck,Fifth trend,Annual percent change (APC),Percentage,units,
37,2021,Canada,Both sexes,Head and neck,Fifth trend,Start year of period,Number,units,
38,2021,Canada,Both sexes,Head and neck,Fifth trend,End year of period,Number,units,
39,2021,Canada,Both sexes,Head and neck,Latest trend,Annual percent change (APC),Percentage,units,-0.3
40,2021,Canada,Both sexes,Head and neck,Latest trend,Start year of period,Number,units,2009.0
41,2021,Canada,Both sexes,Head and neck,Latest trend,End year of period,Number,units,2020.0
42,2021,Canada,Both sexes,Head and neck,Overall trend since 1984,Annual percent change (APC),Percentage,units,-1.4
43,2021,Canada,Both sexes,Head and neck,Overall trend since 1984,Start year of period,Number,units,1984.0
44,2021,Canada,Both sexes,Head and neck,Overall trend since 1984,End year of period,Number,units,2020.0
45,2021,Canada,Both sexes,Head and neck,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-0.3
46,2021,Canada,Both sexes,Head and neck,Overall trend within the last ten years,Start year of period,Number,units,2011.0
47,2021,Canada,Both sexes,Head and neck,Overall trend within the last ten years,End year of period,Number,units,2020.0
48,2021,Canada,Both sexes,Esophagus,First trend,Annual percent change (APC),Percentage,units,0.8
49,2021,Canada,Both sexes,Esophagus,First trend,Start year of period,Number,units,1984.0
50,2021,Canada,Both sexes,Esophagus,First trend,End year of period,Number,units,1999.0
51,2021,Canada,Both sexes,Esophagus,Second trend,Annual percent change (APC),Percentage,units,-0.2
52,2021,Canada,Both sexes,Esophagus,Second trend,Start year of period,Number,units,1999.0
53,2021,Canada,Both sexes,Esophagus,Second trend,End year of period,Number,units,2020.0
54,2021,Canada,Both sexes,Esophagus,Third trend,Annual percent change (APC),Percentage,units,
55,2021,Canada,Both sexes,Esophagus,Third trend,Start year of period,Number,units,
56,2021,Canada,Both sexes,Esophagus,Third trend,End year of period,Number,units,
57,2021,Canada,Both sexes,Esophagus,Fourth trend,Annual percent change (APC),Percentage,units,
58,2021,Canada,Both sexes,Esophagus,Fourth trend,Start year of period,Number,units,
59,2021,Canada,Both sexes,Esophagus,Fourth trend,End year of period,Number,units,
60,2021,Canada,Both sexes,Esophagus,Fifth trend,Annual percent change (APC),Percentage,units,
61,2021,Canada,Both sexes,Esophagus,Fifth trend,Start year of period,Number,units,
62,2021,Canada,Both sexes,Esophagus,Fifth trend,End year of period,Number,units,
63,2021,Canada,Both sexes,Esophagus,Latest trend,Annual percent change (APC),Percentage,units,-0.2
64,2021,Canada,Both sexes,Esophagus,Latest trend,Start year of period,Number,units,1999.0
65,2021,Canada,Both sexes,Esophagus,Latest trend,End year of period,Number,units,2020.0
